Common Name,Scientific Name
Rufous-faced Warbler,Abroscopus albogularis
Black-faced Warbler,Abroscopus schisticeps
Yellow-bellied Warbler,Abroscopus superciliaris
Wattled Guan,Aburria aburri
Spiny-cheeked Honeyeater,Acanthagenys rufogularis
Peg-billed Finch,Acanthidops bairdi
Lesser Redpoll,Acanthis cabaret
Common Redpoll,Acanthis flammea
Hoary Redpoll,Acanthis hornemanni
Rifleman,Acanthisitta chloris
Inland Thornbill,Acanthiza apicalis
Yellow-rumped Thornbill,Acanthiza chrysorrhoa
Tasmanian Thornbill,Acanthiza ewingii
Western Thornbill,Acanthiza inornata
Striated Thornbill,Acanthiza lineata
Yellow Thornbill,Acanthiza nana
Brown Thornbill,Acanthiza pusilla
Buff-rumped Thornbill,Acanthiza reguloides
Chestnut-rumped Thornbill,Acanthiza uropygialis
Western Spinebill,Acanthorhynchus superciliosus
Eastern Spinebill,Acanthorhynchus tenuirostris
Shikra,Accipiter badius
Bicolored Hawk,Accipiter bicolor
Collared Sparrowhawk,Accipiter cirrocephalus
Cooper's Hawk,Accipiter cooperii
Brown Goshawk,Accipiter fasciatus
Northern Goshawk,Accipiter gentilis
Japanese Sparrowhawk,Accipiter gularis
Variable Goshawk,Accipiter hiogaster
Black Goshawk,Accipiter melanoleucus
Little Sparrowhawk,Accipiter minullus
Eurasian Sparrowhawk,Accipiter nisus
Gray Goshawk,Accipiter novaehollandiae
Gray-bellied Hawk,Accipiter poliogaster
Chinese Sparrowhawk,Accipiter soloensis
Sharp-shinned Hawk,Accipiter striatus
Tiny Hawk,Accipiter superciliosus
African Goshawk,Accipiter tachiro
Spot-tailed Goshawk,Accipiter trinotatus
Crested Goshawk,Accipiter trivirgatus
Besra,Accipiter virgatus
Rufous-necked Hornbill,Aceros nipalensis
Rockrunner,Achaetops pycnopygius
Vinous-breasted Starling,Acridotheres burmannicus
Crested Myna,Acridotheres cristatellus
Jungle Myna,Acridotheres fuscus
Bank Myna,Acridotheres ginginianus
Great Myna,Acridotheres grandis
